Element,FieldName,Property,SI Unit Name,SI Unit Abbr,SI Decimals,US Unit Name,US Unit Abbr,US Decimals,ConditionValue,Notes
Pipes,Id,Identifier,Text,,,Text,,,,
Pipes,Length,Length,Meters,m,2,Feet,ft,2,,
Pipes,Diameter,Diameter,Millimeters,mm,1,Inches,in,2,,
Pipes,RoughCoeff,Roughness Coeff,Millimeters,mm,4,Millifeet,mft,6,D-W,HeadLoss formulae
Pipes,RoughCoeff,Roughness Coeff,Unitless,,1,Unitless,,1,H-W,HeadLoss formulae
Pipes,RoughCoeff,Roughness Coeff,seconds/meters(1/3),s/m^(1/3),2,seconds/meters(1/3),s/m^(1/3),2,C-M,HeadLoss formulae
Pipes,LossCoeff,Loss Coefficient,Unitless,,2,Unitless,,2,,
Pipes,Material,Material,Text,,,Text,,,,
Pipes,InstalDate,Installation Date,Year as Text,,,Year as Text,,,,
Pipes,Age,Age,Years,yr,1,Years,yr,1,,
Pipes,LeakArea,Leak Area,sq mm per 100 m,mm2/100,2,sq mm per 100 m,mm2/100,2,,Not yet available
Pipes,LeakExpRat,Leak Expansion Rate,sq mm per unit press,mm2/See PressUnits,2,sq mm per unit press,mm2/See PressUnits,2,,Not yet available
Pipes,IniStatus,Initial Status,Text,,,Text,,,,
Pipes,BulkCoeff,Bulk Coefficient,Per day,1/day,2,Per day,1/day,2,1,Bulk reaction order. Leave blank for other order
Pipes,WallCoeff,Wall Coefficient,mass/L/day,See MassUnits/L/day,3,Mass/L/day,See MassUnits/L/day,3,0,Wall reaction order
Pipes,WallCoeff,Wall Coefficient,Per day,1/day,2,Per day,1/day,2,1,Wall reaction order
Pipes,Tag,Tag,Text,,,Text,,,,
Pipes,Descrip,Description,Text,,,Text,,,,
Valves,Id,Identifier,Text,,,Text,,,,
Valves,Diameter,Diameter,Millimeters,mm,1,Inches,in,2,,
Valves,Type,Type,Text,,,Text,,,,
Valves,Setting,Setting,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,PRV,Type of valve
Valves,Setting,Setting,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,PSV,Type of valve
Valves,Setting,Setting,See PressUnits,See PressUnits,,See PressUnits,See PressUnits,,PBV,Type of valve
Valves,Setting,Setting,See FlowUnits,See FlowUnits,,See FlowUnits,See FlowUnits,,FCV,Type of valve
Valves,Setting,Setting,Unitless,,2,Unitless,,2,TCV,Type of valve
Valves,Setting,Setting,Text,,,Text,,,GPV,Type of valve
Valves,Setting,Setting,Text,,,Text,,,PCV,Type of valve (not yet available)
Valves,IdHeadLoss,HeadLoss Curve,Text,,,Text,,,,
Valves,LossCoeff,Loss Coefficient,Unitless,,2,Unitless,,2,,
Valves,IniStatus,Initial Status,Text,,,Text,,,,
Valves,Tag,Tag,Text,,,Text,,,,
Valves,Descrip,Description,Text,,,Text,,,,
Pumps,Id,Identifier,Text,,,Text,,,,
Pumps,IdHFCurve,Head Curve,Text,,,Text,,,,
